iter	Passed	Remaining
0	444	222054
1	481	120016
2	517	85803
3	594	73763
4	657	65131
5	713	58769
6	1608	113259
7	2048	125981
8	2095	114320
9	2849	139622
10	2934	130433
11	3313	134747
12	3347	125416
13	4080	141658
14	4189	135466
15	4240	128277
16	4446	126324
17	5105	136723
18	5265	133288
19	6047	145139
20	6093	138984
21	6760	146892
22	7188	149088
23	7233	143456
24	7276	138245
25	7373	134433
26	7479	131035
27	8154	137458
28	9018	146476
29	9099	142565
30	9161	138600
31	9203	134596
32	10011	141681
33	10703	146695
34	10793	143399
35	10850	139853
36	11678	146137
37	12390	150641
38	12442	147074
39	13278	152705
40	13356	149525
41	14023	152919
42	14809	157391
43	15213	157669
44	15398	155695
45	16154	159438
46	16846	162374
47	17300	162917
48	17400	160151
49	17421	156790
50	18120	159528
51	18157	156436
52	18901	159417
53	18941	156446
54	19007	153791
55	19430	154052
56	19478	151388
57	19738	150418
58	20486	153124
59	20535	150595
60	20627	148449
61	20664	145984
62	20867	144746
63	21263	144857
64	21326	142721
65	21395	140694
66	21509	139006
67	22191	140981
68	22675	141638
69	22709	139498
70	22733	137359
71	22797	135517
72	23529	137628
73	24255	139635
74	24298	137688
75	24337	135776
76	25076	137760
77	25150	136068
78	25889	137968
79	25944	136210
80	26153	135286
81	26812	136677
82	27256	136939
83	27630	136839
84	28271	138031
85	29071	139948
86	29875	141820
87	30135	141089
88	30842	142431
89	31331	142730
90	32097	144263
91	32857	145714
92	32897	143970
93	32987	142476
94	33057	140929
95	33090	139255
96	33766	140288
97	33934	139201
98	34025	137822
99	34124	136498
100	34819	137554
101	34858	136017
102	35084	135229
103	35499	135171
104	35612	133972
105	35643	132486
106	35842	131644
107	36921	134012
108	37489	134480
109	38632	136970
110	38682	135563
111	40002	138580
112	41287	141402
113	41400	140179
114	42555	142467
115	42576	140942
116	42604	139465
117	42670	138136
118	42699	136711
119	43616	138118
120	43682	136822
121	44116	136688
122	44189	135441
123	45331	137458
124	45537	136612
125	46333	137528
126	47057	138208
127	48296	140362
128	49277	141720
129	50210	142905
130	50231	141491
131	51419	143351
132	51885	143173
133	52713	143977
134	52752	142626
135	53603	143468
136	54679	144881
137	55417	145370
138	56114	145736
139	56935	146405
140	57012	145159
141	57703	145476
142	58434	145881
143	59185	146319
144	59966	146815
145	60422	146503
146	61139	146817
147	61208	145575
148	61472	144811
149	61498	143495
150	62229	143828
151	63045	144340
152	63078	143060
153	63834	143420
154	63948	142336
155	64012	141155
156	64040	139909
157	64079	138703
158	64760	138889
159	64836	137777
160	65618	138166
161	65691	137059
162	65720	135875
163	65820	134852
164	65941	133881
165	66671	134146
166	66788	133177
167	67580	133551
168	68329	133828
169	68376	132730
170	69090	132928
171	70413	134276
172	71355	134875
173	71432	133833
174	71539	132858
175	72627	133700
176	73601	134312
177	74291	134392
178	74769	134083
179	75458	134148
180	76302	134478
181	76702	134018
182	76762	132971
183	76794	131886
184	77484	131932
185	78225	132057
186	79019	132262
187	79754	132357
188	79803	131316
189	80710	131685
190	80900	130881
191	81000	129938
192	81404	129488
193	82099	129497
194	82142	128479
195	82227	127536
196	83059	127750
197	83752	127744
198	83782	126725
199	84087	126131
200	84120	125134
201	84786	125081
202	85606	125247
203	85647	124273
204	85691	123312
205	86351	123240
206	86411	122312
207	87092	122264
208	87807	122257
209	87842	121306
210	87873	120357
211	88648	120428
212	89318	120349
213	90099	120413
214	90524	119998
215	91193	119902
216	91219	118963
217	91348	118166
218	92163	118255
219	92226	117378
220	92893	117272
221	93692	117327
222	94459	117333
223	94539	116486
224	95274	116446
225	95381	115639
226	95424	114761
227	95540	113978
228	95905	113494
229	96552	113343
230	96995	112951
231	97645	112796
232	97667	111919
233	97707	111068
234	98477	111048
235	98865	110594
236	98908	109759
237	99555	109595
238	100317	109552
239	100377	108742
240	101144	108699
241	101317	108016
242	102111	107994
243	102776	107831
244	103605	107834
245	104342	107735
246	105160	107714
247	105903	107611
248	106640	107496
249	106711	106711
250	106762	105912
251	107450	105745
252	107503	104953
253	108199	104791
254	108239	103995
255	109022	103912
256	109053	103113
257	109091	102326
258	109794	102163
259	110187	101711
260	110223	100932
261	110257	100157
262	110971	100000
263	111759	99906
264	112507	99770
265	112545	99006
266	113277	98852
267	113546	98294
268	114216	98081
269	114257	97330
270	115010	97185
271	115229	96589
272	115944	96407
273	115977	95660
274	116768	95537
275	117439	95313
276	118199	95157
277	118243	94424
278	118658	93990
279	118703	93266
280	118798	92586
281	118824	91857
282	119486	91620
283	119513	90897
284	119540	90179
285	119573	89470
286	120844	89686
287	121637	89539
288	122491	89431
289	123310	89293
290	124077	89114
291	124857	88939
292	124914	88250
293	125820	88160
294	126500	87907
295	126675	87303
296	127467	87123
297	128123	86848
298	128903	86654
299	129631	86420
300	129709	85754
301	130494	85556
302	131210	85308
303	131697	84910
304	132442	84676
305	132499	84003
306	133356	83836
307	133403	83160
308	133435	82479
309	133472	81805
310	134294	81613
311	135049	81376
312	135125	80729
313	135918	80511
314	136107	79936
315	136812	79663
316	137967	79647
317	138369	79192
318	138561	78619
319	139323	78369
320	139353	77708
321	139743	77249
322	139789	76602
323	140728	76445
324	140752	75789
325	141803	75686
326	142613	75449
327	143054	75016
328	143789	74735
329	144483	74431
330	145380	74227
331	145421	73586
332	146089	73264
333	146935	73027
334	147678	72737
335	148423	72444
336	148500	71826
337	148631	71237
338	149043	70784
339	149088	70159
340	149757	69828
341	150042	69317
342	150720	68988
343	151599	68748
344	152320	68433
345	152814	68015
346	153546	67701
347	154351	67417
348	155123	67116
349	155835	66786
350	156653	66499
351	157414	66185
352	157583	65622
353	157608	65002
354	157716	64419
355	157896	63868
356	158632	63542
357	159301	63186
358	160053	62862
359	160792	62530
360	161558	62206
361	162334	61884
362	163175	61584
363	163892	61234
364	164733	60928
365	165448	60573
366	166207	60233
367	166963	59889
368	167003	59288
369	167695	58919
370	168474	58579
371	169196	58218
372	169961	57868
373	170067	57295
374	170102	56700
375	170847	56343
376	171599	55986
377	171659	55403
378	172618	55110
379	172810	54571
380	173617	54227
381	174316	53846
382	175199	53520
383	176010	53169
384	176771	52801
385	177628	52460
386	178403	52092
387	179341	51768
388	179451	51206
389	179577	50650
390	179605	50068
391	179672	49501
392	179706	48927
393	179911	48402
394	179934	47830
395	180633	47439
396	181515	47093
397	181929	46625
398	182880	46293
399	182906	45726
400	183314	45257
401	183362	44700
402	183405	44144
403	183435	43588
404	183633	43074
405	184316	42674
406	185159	42309
407	185877	41913
408	186783	41558
409	186901	41027
410	187653	40635
411	187769	40106
412	188460	39700
413	188567	39171
414	189325	38777
415	189720	38309
416	190416	37900
417	191180	37504
418	191483	37017
419	191669	36508
420	191700	35972
421	192718	35620
422	193579	35237
423	194785	34914
424	195876	34566
425	196594	34150
426	197346	33738
427	198059	33318
428	198352	32827
429	198986	32393
430	199795	31985
431	200512	31562
432	200693	31054
433	201450	30635
434	201634	30129
435	201759	29616
436	202435	29184
437	203353	28785
438	203416	28265
439	204174	27841
440	204911	27414
441	205094	26912
442	205887	26491
443	205920	25971
444	206604	25535
445	207494	25122
446	207683	24624
447	207902	24131
448	208550	23688
449	209686	23298
450	210779	22900
451	211700	22481
452	211774	21972
453	212098	21490
454	212124	20979
455	212907	20543
456	213283	20068
457	214148	19638
458	214208	19134
459	214919	18688
460	214983	18187
461	215025	17686
462	215065	17186
463	216002	16758
464	216436	16290
465	217120	15841
466	217823	15392
467	217942	14902
468	217998	14409
469	218776	13964
470	219420	13509
471	220202	13062
472	220245	12572
473	220936	12118
474	220978	11630
475	221013	11143
476	221091	10660
477	221833	10209
478	222535	9756
479	223508	9312
480	224183	8855
481	224991	8402
482	225717	7944
483	226479	7486
484	227236	7027
485	227956	6566
486	228684	6104
487	229446	5642
488	229882	5171
489	229914	4692
490	230569	4226
491	230603	3749
492	231402	3285
493	231439	2811
494	232205	2345
495	232464	1874
496	233493	1409
497	234584	942
498	235816	472
499	235892	0
